Solution Key,PAF Error,Resolution Steps,Resolution Strategy,Need to be monitored,Source Line Number,Remote IP Address,Program/Method/Function Module,Package,Name of Method or Function Module,Name of Class or Program,Message Area,Message number,Expiry Date,Error Subcategory,Error Short Text,Application component ID,Application Area,ABAP Name of Consumer or Server Proxy,Error Log Information,Sender party,Sender interface operation,Sender interface namespace,Sender interface name,Receiver interface operation,Receiver interface namespace,Receiver interface name
SCM_FALCON001_2022,An error occurred during save process // Purchase order item has been canceled,"TPOP PO line item is already cancelled but Inter-company OD related to SO is released and triggered the message to create IDN, * for PO, as OD have no updates about the cancellation of PO, the message is failing because of this inconsistency.As we can see TPOP Sales Order is in Completed State and TPOP PO is already cancelled. Hence this whole scenario should be reversed and Cancelled.1. Cancel the message2. Undo-release the OD and cancel the OD 3. Ask the customer to cancel the full scenario ",Manual Action by Dev,No, 150, nan, P,AP_DP_DELDESADVNOTIF_PRX,CL_SPAF_INB_PROXY_ADAPTER=====CM004,CL_SPAF_INB_PROXY_ADAPTER=====CP,AP_PAF_HELPER_TOOLS,000,2023-03-05,nan,An error occurred during save process,AP-ODP,AP_PAF_HELPER_TOOLS,I_APDL_IDE_PROC_DEL_NOTI_IN,nan,OutboundDeliveryProcessing,NotifyOfOutboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,OutboundDeliveryProcessingDeliveryNotificationOut,MaintainInboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingDeliveryNotificationIn
SCM_FALCON001_2022,An error occurred during save process // Purchase order item has been canceled,"TPOP PO line item is already cancelled but Inter-company OD related to SO is released and triggered the message to create IDN, * for PO, as OD have no updates about the cancellation of PO, the message is failing because of this inconsistency.As we can see TPOP Sales Order is in Completed State and TPOP PO is already cancelled. Hence this whole scenario should be reversed and Cancelled.1. Cancel the message 2. Undo-release the OD and cancel the OD 3. Ask the customer to cancel the full scenario ",Manual Action by Dev,No,150,nan,P,AP_DP_DELDESADVNOTIF_PRX,CL_SPAF_INB_PROXY_ADAPTER=====CM004,CL_SPAF_INB_PROXY_ADAPTER=====CP,AP_PAF_HELPER_TOOLS,000,2023-03-05,nan,An error occurred during save process,AP-ODP,AP_PAF_HELPER_TOOLS,I_APDL_IDE_PROC_DEL_NOTI_IN,nan,OutboundDeliveryProcessing,NotifyOfOutboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,OutboundDeliveryProcessingDeliveryNotificationOut,MaintainInboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingDeliveryNotificationIn
SCM_FALCON001_2022,An error occurred during save process // Purchase order item has been canceled,"TPOP PO line item is already cancelled but Inter-company OD related to SO is released and triggered the message to create IDN, * for PO, as OD have no updates about the cancellation of PO, the message is failing because of this inconsistency. 

As we can see TPOP Sales Order is in Completed State and TPOP PO is already cancelled. Hence this whole scenario should be reversed and Cancelled.  

1. Cancel the message  

2. Undo-release the OD and cancel the OD  

3. Ask the customer to cancel the full scenario ",Manual Action by Dev,No,150,nan,P,AP_DP_DELDESADVNOTIF_PRX,CL_SPAF_INB_PROXY_ADAPTER=====CM004,CL_SPAF_INB_PROXY_ADAPTER=====CP,AP_PAF_HELPER_TOOLS,000,2023-02-26,nan,An error occurred during save process,AP-ODP,AP_PAF_HELPER_TOOLS,I_APDL_IDE_PROC_DEL_NOTI_IN,nan,OutboundDeliveryProcessing,NotifyOfOutboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,OutboundDeliveryProcessingDeliveryNotificationOut,MaintainInboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingDeliveryNotificationIn
SCM_FALCON002_2022,Operation not possible purchase order does not exist,"1. Check for the -<OriginPurchaseOrderReference> in the xml 
2. Check if the PO exists in the system and if the process is complete
3. If the process is complete, then cancel the message",AMP Pending Manual action by DEV,No,0,nan,nan,nan,nan,nan,SRT_HC,007,0000-00-00,nan,Application Error after Commit Work execution,nan,SRT_HC,nan,nan,LogisticsExecutionControl,RequestDeliveryFulfilment,http://sap.com/xi/AP/SupplyChainControl/Global,LogisticsExecutionControlFulfilmentOut,MaintainInboundDeliveryRequest,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingFulfilmentIn
SCM_FALCON002_2022,Operation not possible purchase order does not exist,"1. Check for the -<OriginPurchaseOrderReference> in the xml 
2. Check if the PO exists in the system and if the process is complete
3. If the process is complete, then cancel the message",AMP Pending Manual action by DEV,No,0,nan,nan,nan,nan,nan,SRT_HC,007,0000-00-00,nan,Application Error after Commit Work execution,nan,SRT_HC,nan,nan,LogisticsExecutionControl,RequestDeliveryFulfilment,http://sap.com/xi/AP/SupplyChainControl/Global,LogisticsExecutionControlFulfilmentOut,MaintainInboundDeliveryRequest,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingFulfilmentIn
SCM_FALCON003_2022,"Application Error after Commit Work execution 
Error on xml: Party ID not valid (PAF error does not exist)","""1. Check for the <Receipent Party> in the xml 
2. Check if the party is valid by validating with other documents in the system and is the process is complete
3. If the process is complete, then cancel the message""",AMP Pending Manual action by DEV,No,"0
",nan,nan,nan,nan,nan,SRT_HC,007,0000-00-00,nan,Application Error after Commit Work execution,nan,SRT_HC,nan,nan,OutboundDeliveryProcessing,NotifyOfOutboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,OutboundDeliveryProcessingDeliveryNotificationOut,MaintainInboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingDeliveryNotificationIn
SCM_FALCON004_2022,An error occurred during save process // Purchase order item has been canceled,"""TPOP PO line item is already cancelled but Inter-company OD related to SO is released and triggered the message to create IDN, * for PO, as OD have no updates about the cancellation of PO, the message is failing because of this inconsistency. 

As we can see TPOP Sales Order is in Completed State and TPOP PO is already cancelled. Hence this whole scenario should be reversed and Cancelled.  

1. Cancel the message  

2. Undo-release the OD and cancel the OD  

3. Ask the customer to cancel the full scenario """,Manual Action by Dev,No,150,nan,P,AP_DP_DELDESADVNOTIF_PRX,CL_SPAF_INB_PROXY_ADAPTER=====CM004,CL_SPAF_INB_PROXY_ADAPTER=====CP,AP_PAF_HELPER_TOOLS,000,2023-03-28,nan,An error occurred during save process,AP-ODP,AP_PAF_HELPER_TOOLS,I_APDL_IDE_PROC_DEL_NOTI_IN,nan,nan,MaintainInboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingDeliveryNotificationIn,MaintainInboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingDeliveryNotificationIn
SCM_FALCON004_2022,An error occurred during save process // Purchase order item has been canceled,"""TPOP PO line item is already cancelled but Inter-company OD related to SO is released and triggered the message to create IDN, * for PO, as OD have no updates about the cancellation of PO, the message is failing because of this inconsistency. 

As we can see TPOP Sales Order is in Completed State and TPOP PO is already cancelled. Hence this whole scenario should be reversed and Cancelled.  

1. Cancel the message  

2. Undo-release the OD and cancel the OD  

3. Ask the customer to cancel the full scenario """,Manual Action by Dev,No,150,nan,P,AP_DP_DELDESADVNOTIF_PRX,CL_SPAF_INB_PROXY_ADAPTER=====CM004,CL_SPAF_INB_PROXY_ADAPTER=====CP,AP_PAF_HELPER_TOOLS,000,2023-03-28,nan,An error occurred during save process,AP-ODP,AP_PAF_HELPER_TOOLS,I_APDL_IDE_PROC_DEL_NOTI_IN,nan,nan,MaintainInboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingDeliveryNotificationIn,MaintainInboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingDeliveryNotificationIn
SCM_FALCON004_2022,An error occurred during save process // Purchase order item has been canceled,"""TPOP PO line item is already cancelled but Inter-company OD related to SO is released and triggered the message to create IDN, * for PO, as OD have no updates about the cancellation of PO, the message is failing because of this inconsistency. 

As we can see TPOP Sales Order is in Completed State and TPOP PO is already cancelled. Hence this whole scenario should be reversed and Cancelled.  

1. Cancel the message  

2. Undo-release the OD and cancel the OD  

3. Ask the customer to cancel the full scenario """,Manual Action by Dev,No,150,nan,P,AP_DP_DELDESADVNOTIF_PRX,CL_SPAF_INB_PROXY_ADAPTER=====CM004,CL_SPAF_INB_PROXY_ADAPTER=====CP,AP_PAF_HELPER_TOOLS,000,2023-04-10,nan,An error occurred during save process,AP-ODP,AP_PAF_HELPER_TOOLS,I_APDL_IDE_PROC_DEL_NOTI_IN,nan,nan,MaintainInboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingDeliveryNotificationIn,MaintainInboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingDeliveryNotificationIn
SCM_FALCON005_2022,Error while creating goods movement //  Confirmation not possible;posting on blocked by accounting,"KBA Already exists
Solution: Ask customer to remove posting block and restart the message",Manual Action by MS,Yes,0,nan,P,AP_DP_DELDESADVNOTIF_PRX,nan,SAPMSSY1,AP_ESI_COMMON,107,2023-03-31,nan,Changing data not possible; data is read-only,AP-ODP,AP_ESI_COMMON,I_APDL_IDE_PROC_DEL_NOTI_IN,nan,OutboundDeliveryProcessing,NotifyOfOutboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,OutboundDeliveryProcessingDeliveryNotificationOut,MaintainInboundDelivery,http://sap.com/xi/AP/LogisticsExecution/Global,InboundDeliveryProcessingDeliveryNotificationIn
